"","GENE","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"ENSG00000183196.10","ENSG00000183196.10",240.517350371552,153.039102809851,122.174504732859,124.979210561915,150.097819787669,142.197936323131,214.268615887827,237.69008969727,154.416609900902,98.2639428821451,74.3314119136827,120.283925576146,166.66973902302,208.360989942342,1.1431944274011,"SEED1"
"ENSG00000163517.15","ENSG00000163517.15",85.3353716490243,57.2896805836569,63.4915490997831,27.0025766844746,30.4228754898929,44.6275917418831,88.1155463484493,99.7776464825191,54.3188055158446,61.4669887241439,42.1093972555816,71.2541422049638,84.349817812438,99.0819740538386,1.24168199090875,"SEED1"
"ENSG00000101412.13","ENSG00000101412.13",2449.08544072798,1669.66741100083,1128.73874032286,999.570683170626,1683.465751839,2212.29916126281,3790.48208009589,5097.57498340278,2416.66946710954,1509.4552099904,1417.9965096331,1693.1052800975,3540.63596101364,4602.4689189804,1.37030479366583,"SEED1"
"ENSG00000007968.7","ENSG00000007968.7",1172.00515667895,429.749330270021,501.054990538189,473.978674253953,981.121080302631,1177.49600498852,2444.93206263071,3148.77487359784,1344.82795266852,854.031343645741,825.994215834988,1147.58474383219,2218.95788011686,2774.14872888421,1.48826898960985,"SEED1"
"ENSG00000273344.1","ENSG00000273344.1",304.84313525634,156.162157230113,111.212026408826,111.114391253024,124.227609010294,207.030958350961,294.636134824765,330.353990260258,209.690216386379,184.906075590581,166.307887816244,249.93627795889,298.51812416522,296.049221647265,1.4903557226719,"SEED1"
"ENSG00000283828.1","ENSG00000283828.1",116.721189502971,74.4935716336101,47.4642801921593,32.5076358535401,51.41375474777,58.755834588524,108.059048380757,75.7692673836168,42.4912689759616,40.0142510170289,53.4273793953361,68.1923782622449,100.668407635551,65.5759028494404,1.55165181089494,"SEED1"
"ENSG00000175643.10","ENSG00000175643.10",673.248749391168,349.148275423469,306.691396023259,280.621861957721,379.659885871405,437.199347872421,729.02778625353,855.376132025601,481.677588011897,373.972682860653,409.430065987272,424.26655710688,709.248841339396,701.257861964665,1.55929938150959,"SEED1"
"ENSG00000105173.14","ENSG00000105173.14",1864.84347155906,1212.6348530637,1171.01041216759,1116.99386792944,1467.12281871681,1788.18327901505,3177.87146500051,3159.8933495414,1347.34798664815,857.048783935587,975.507202061654,1113.5951456467,2358.87767619118,2786.10613097303,1.59270959405778,"SEED1"
"ENSG00000092470.12","ENSG00000092470.12",2090.11430278889,1277.46348169444,973.902633741428,803.384978097652,1276.45461459897,1472.91819187332,2983.41110896117,3958.95120944914,2603.95654899671,1415.23997001801,1259.81055944863,1636.38776399287,2390.69253738535,3897.94604655268,1.664923576293,"SEED1"
"ENSG00000175305.18","ENSG00000175305.18",452.786586045091,285.555677606552,228.541207601457,150.824778726072,247.125415259417,380.71958088604,505.266991291214,464.481277997829,498.561433567808,231.646293038749,248.5465733259,295.69906779951,363.50435002517,485.935717628172,1.67237321876062,"SEED1"
