"","GENE","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"1","ENSG00000000419.14",418.132281370793,458.699790260299,344.485399854449,456.038262671614,358.994883430487,407.492367228792,488.825652485846,310.352568261436,411.029517649843,388.890263589829,419.020285691158,415.921900050522,393.045136874327,454.358613051469,3.17819301658916,"SEED1"
"2","ENSG00000000457.14",676.82489484827,537.963282955018,477.497765948238,593.341318060667,629.696637057637,552.53769642456,587.620496295189,634.935673484869,684.604138649894,626.801726396865,688.78526546399,659.210609062268,601.907318669938,615.026449349551,2.84371882231369,"SEED3"
"3","ENSG00000000460.17",2611.37275417771,2490.57121616602,2303.70881961746,2444.71788958249,2040.52153747529,1820.8870542629,1917.32213195511,2387.5850071778,2777.13709213778,2458.45745118971,2555.05376824292,2319.9203886824,1996.68022266576,2381.77800416531,2.64677577162082,"SEED2"
"5","ENSG00000000971.16",666.655851722825,551.798609371638,524.635479788164,647.925225479735,488.989521023847,459.565893036858,515.629712699426,553.959684635781,668.081481800678,550.274577304064,585.957999190211,663.245043714518,439.861200487447,572.964152440511,2.75265092268673,"SEED3"
"6","ENSG00000001036.14",65.7647827297688,56.2380698788957,31.5083356143734,60.876539066066,65.7260351700629,31.6094335422512,52.738553180902,37.5885173193758,42.0632571785148,47.4254412756522,67.8038385516165,64.085420333581,69.4276382592514,109.481322282438,2.77354830732235,"SEED7"
"7","ENSG00000001084.13",4769.30232586297,5192.51787038573,5329.82400277147,4465.23072421634,4578.86433973226,3780.24479712517,3777.95931366824,3797.82831518109,4330.86589128225,4311.81937119824,4845.2769791318,4820.55184950859,4145.01011379275,3688.11416772235,3.01796022953518,"SEED3"
"8","ENSG00000001167.15",464.321278928335,673.743029030502,721.85351348781,484.961496471041,496.611276807031,549.826892508087,539.460175273321,712.310284701109,483.441097504348,588.072222872726,588.851110723221,334.569506873387,585.166599334769,612.951437442622,2.80270591291507,"SEED2"
"9","ENSG00000001460.18",131.498588301985,180.166280655474,185.265680103033,245.041294726943,130.67079165942,152.596172806598,158.708010471436,155.872409217057,172.278081224531,170.640773173902,171.183817710516,202.815353132655,111.880784767339,181.595714897809,2.17324612874296,"SEED3"
"10","ENSG00000001461.17",1855.89710416963,1971.24755829626,2387.25857825473,2731.89915129201,2037.74857125354,1748.36111137267,1535.72080909931,1505.5409595257,1462.2483322139,1725.31249723261,1724.09331464871,1488.93417527736,1395.46904428481,1288.77377543671,2.71553753473528,"SEED3"
"11","ENSG00000001497.18",6989.4608483798,6502.10616403102,7167.98604947523,6516.24384105948,6860.30626764822,7165.04329833252,7661.30640558798,7602.45920768328,6704.86019227644,6704.19185650489,6888.25536602683,6456.9578254079,7054.29969376988,6798.20407660168,4.20142487610236,"SEED1"
