"","GENE","SCORE","FDR"
"1","ENSG00000000003.15",3.6916144448911,0.528
"2","ENSG00000000005.6",5.7,0.704
"3","ENSG00000000419.14",3.17819301658916,0.169
"4","ENSG00000000457.14",3.62230680052224,0.797
"5","ENSG00000000460.17",3.74043074115535,0.749
"6","ENSG00000000938.13",6.22524832129028,0.984
"7","ENSG00000000971.16",3.79098311655133,0.706
"8","ENSG00000001036.14",3.31113888846737,0.256
"9","ENSG00000001084.13",4.03644968453371,0.784
"10","ENSG00000001167.15",3.37492325644655,0.39
"11","ENSG00000001460.18",3.97263375165951,0.891
"12","ENSG00000001461.17",4.59244145598799,0.98
"13","ENSG00000001497.18",4.20142487610236,0.213
"14","ENSG00000001561.7",5.53541780546617,0.861
"15","ENSG00000001617.12",3.46151225518014,0.38
"16","ENSG00000001626.17",4.61783141915537,0.507
"17","ENSG00000001629.10",4.44548508623436,0.99
"18","ENSG00000001630.18",4.03559273237317,0.817
"19","ENSG00000001631.17",3.69227394387545,0.558
"20","ENSG00000002016.18",3.59912769303197,0.466
"21","ENSG00000002079.14",3.2176189561339,0.165
"22","ENSG00000002330.14",2.64603047133882,0.001
"23","ENSG00000002549.13",3.64347074052406,0.396
"24","ENSG00000002586.20",3.85023437086615,0.426
"25","ENSG00000002587.10",4.73855421303287,0.9
"26","ENSG00000002726.21",4.7995245160259,0.415
"27","ENSG00000002745.13",4.11111362574817,0.69
"28","ENSG00000002746.15",3.19311010045103,0.306
"29","ENSG00000002822.16",4.06639356315242,0.877
"30","ENSG00000002834.18",3.81016441101794,0.657
"31","ENSG00000002919.15",3.9373224309247,0.852
"32","ENSG00000002933.9",5.59564584462248,0.821
"33","ENSG00000003056.8",3.90990251304761,0.859
"34","ENSG00000003096.14",3.33997222759899,0.186
"35","ENSG00000003137.9",3.05279144904551,0.175
"36","ENSG00000003147.19",3.41355083059089,0.302
"37","ENSG00000003249.15",3.43351177143594,0.209
"38","ENSG00000003393.16",3.95789218138023,0.788
"39","ENSG00000003400.15",3.5856952016432,0.375
"40","ENSG00000003402.21",4.4220059575367,0.985
"41","ENSG00000003436.16",4.32920388221004,0.97
"42","ENSG00000003509.16",4.0439227481213,0.918
"43","ENSG00000003756.17",2.87178519294442,0.048
"44","ENSG00000003987.14",5.34238885023622,0.997
"45","ENSG00000003989.18",3.90792831761192,0.734
"46","ENSG00000004059.11",4.34853549091069,0.918
"47","ENSG00000004139.14",3.44771899507263,0.217
"48","ENSG00000004142.12",3.77594195642044,0.046
"49","ENSG00000004399.13",3.55674719573814,0.114
"50","ENSG00000004455.17",3.59108913075536,0.301
"51","ENSG00000004468.13",5.80740078420419,0.909
"52","ENSG00000004478.8",4.18342091707521,0.758
"53","ENSG00000004487.18",4.21468691232703,0.829
"54","ENSG00000004534.15",4.38851050534075,0.987
"55","ENSG00000004660.15",3.9207696142289,0.366
"56","ENSG00000004700.16",3.61760599670978,0.211
"57","ENSG00000004766.17",4.13256783062998,0.916
"58","ENSG00000004776.13",3.51123962251772,0.105
"59","ENSG00000004777.19",4.67092359171753,0.818
"60","ENSG00000004779.10",4.36857424768664,0.944
"61","ENSG00000004799.8",4.70122985480207,0.89
"62","ENSG00000004838.14",2.9855213284289,0.087
"63","ENSG00000004846.17",4.25693507135013,0.381
"64","ENSG00000004848.8",4.75003495817592,0.727
"65","ENSG00000004864.14",4.13216639781796,0.855
"66","ENSG00000004866.22",4.07174345645394,0.962
"67","ENSG00000004897.12",4.53741073954408,0.998
"68","ENSG00000004939.16",3.87741445953913,0.099
"69","ENSG00000004948.16",4.82724971573983,0.281
"70","ENSG00000004961.15",4.4209270029375,0.82
"71","ENSG00000004975.12",3.57237394777521,0.072
"72","ENSG00000005001.10",5.1809255439537,0.847
"73","ENSG00000005007.13",2.86862132150867,0.051
"74","ENSG00000005020.13",4.56346449545521,0.999
"75","ENSG00000005022.6",3.93320914364607,0.108
"76","ENSG00000005059.16",3.62862549636196,0.526
"77","ENSG00000005073.6",4.48218871142912,0.451
"78","ENSG00000005100.13",4.16696016719427,0.891
"79","ENSG00000005102.14",4.68560236987202,0.843
"80","ENSG00000005108.17",4.32205536015768,0.23
"81","ENSG00000005156.12",4.01325669810972,0.837
"82","ENSG00000005175.10",4.42558065022784,0.953
"83","ENSG00000005187.12",5.13817765171221,0.903
"84","ENSG00000005189.20",3.86603818722759,0.598
"85","ENSG00000005194.15",4.31601401235169,0.658
"86","ENSG00000005206.17",3.53359887056067,0.483
"87","ENSG00000005238.20",3.1407529265373,0.122
"88","ENSG00000005243.10",5.35872671253233,0.938
"89","ENSG00000005249.13",5.20933769631797,0.988
"90","ENSG00000005302.19",3.915735144435,0.582
"91","ENSG00000005339.15",4.08188308905327,0.983
"92","ENSG00000005379.17",3.4586949345353,0.281
"93","ENSG00000005381.8",4.58,0.228
"94","ENSG00000005421.9",5.17608425917842,0.45
"95","ENSG00000005436.14",3.84581814255793,0.61
"96","ENSG00000005448.17",3.7486373731232,0.151
"97","ENSG00000005469.12",2.80841492454632,0.045
"98","ENSG00000005471.19",4.45777714449314,0.318
"99","ENSG00000005483.22",3.6623730345418,0.795
"100","ENSG00000005486.17",3.94538548968425,0.084
"101","ENSG00000005513.10",5.43077448844551,0.825
"102","ENSG00000005700.15",4.28133417011445,0.981
"103","ENSG00000005801.18",4.17347002419355,0.787
"104","ENSG00000005810.19",3.57039342321049,0.549
"105","ENSG00000005812.11",4.17896588114197,0.848
"106","ENSG00000005844.19",3.36454102765158,0.276
"107","ENSG00000005882.12",3.20790520642559,0.233
"108","ENSG00000005884.18",3.83257741733481,0.948
"109","ENSG00000005889.16",4.17758706461917,0.97
"110","ENSG00000005893.16",3.67296130848133,0.876
"111","ENSG00000005961.19",4.05622858740764,0.55
"112","ENSG00000005981.13",4.95530420823942,0.821
"113","ENSG00000006007.12",4.44909322322125,0.857
"114","ENSG00000006015.18",3.38929968424615,0.351
"115","ENSG00000006016.12",3.65714901012701,0.335
"116","ENSG00000006025.12",3.15413754904262,0.112
"117","ENSG00000006042.12",3.8776154104047,0.646
"118","ENSG00000006047.13",4.6144361943609,0.635
"119","ENSG00000006062.18",3.19279387246006,0.016
"120","ENSG00000006071.16",4.86782801690874,0.931
"121","ENSG00000006118.15",3.53109572502416,0.272
"122","ENSG00000006125.18",4.32016413558166,0.969
